No	f(xmin)		f_eval	
1	 1.22075272e-05	153	
2	 1.22075272e-05	1135	
3	 1.22075272e-05	47311	
4	 8.76920923e-05	742	
5	 1.82749483e-06	209	
6	 1.52629702e-06	211	
7	 2.88167880e-06	209	
8	 2.99453735e-06	249	
9	 3.97906774e-01	370	
10	 9.82295925e-05	1337	
	
12	 7.34891013e-05	2087
11	 3.18121472e-05	431	
12	 9.33958696e-05	2620
13	 8.17466945e-05	19418	
14	-9.99999699e-01	716	
15	 3.00000000e+00	25	
16	 3.69748523e-07	4700	
17	-3.86244951e+00	169	
18	-3.32214230e+00	490	
19	-1.03154347e+00	254	
20	 9.03436134e-06	116	
21	 1.82758259e-05	459	
22	 3.53616831e-05	6246	
23	 2.71267361e-05	163	
24	-1.80130322e+00	231	
25	-4.68744438e+00	5051


28	 4.58896830e-05	1223	
29	 9.75595760e-05	2867	
30	 0.00000000e+00	159	
31	 4.81370314e-05	609	
32	 1.28762085e-05	6511	
33	 1.98392082e-05	1439	
34	 9.65074614e-05	544	
35	 2.40686364e-05	2231
36	 3.04655506e-05	27256	
37	 1.36729000e-07	413	
38	 6.39796544e-05	10362 xmin=[420.9694824219 420.9694824219 420.9694824219 420.9694824219 420.9694824219]
38	 7.73349052e-05	13835  -500 500    xmin=[420.9798177083
38	 8.84892870e-09	2801   -500 650    xmin=[420.9686279297
39	 1.76978574e-08	55701  xmin=[420.9686279297
40	-1.01523482e+01	3665	
41	-1.04020135e+01	1655	
42	-1.05354481e+01	2238	
43	-1.86721395e+02	181	
44	 1.14800347e-05	143	
45	 2.87000868e-05	987	
46	 5.74001736e-05	19418	
47	 3.89417013e-06	328	
48	 8.94069672e-07	1141
49	 3.27825546e-06	5331	
50	-4.99997864e+01	1414	
51	-2.09987793e+02	10470	
52	 2.88223899e-05	125	
53	 6.43223932e-05	2948
